open,high,low,close,volume
89275.61,89407.44,87643.24,87646.99,2053.477592
87646.99,88042.69,85353.41,86806.95,6646.658641
86806.95,87874.27,86542.28,87148.58,1973.098958
87148.58,87860.17,86200.0,86354.72,1565.945499
86354.72,86544.1,85083.73,86333.84,2974.268544
86333.84,87100.0,85199.1,86991.03,2590.678163
86991.03,87711.15,86123.0,86621.44,2071.480298
86621.44,87612.12,85723.12,87038.37,1936.069537
87038.37,87892.2,86862.86,86960.01,1565.839423
86960.01,88887.85,86896.44,88788.19,1557.420624
88788.19,89770.73,88610.98,88695.3,1899.523896
88695.3,89882.18,88656.27,89449.66,1423.933035
89449.66,89686.7,88142.85,88234.26,1396.238832
88234.26,88632.87,87585.01,88583.78,811.930503
88583.78,88583.78,87360.15,87919.73,832.320151
87919.73,88463.16,87583.27,88035.62,1243.43421
88035.62,88554.36,87695.46,88241.73,1471.158758
88241.73,88323.57,87000.0,87858.03,1707.004614
87858.03,88150.79,87040.01,87129.84,1108.421925
87129.84,87686.2,86192.59,87151.04,1366.75613
87151.04,87434.68,86424.23,86532.12,908.019878
86532.12,86918.45,86080.63,86462.41,1352.682213
86462.41,87485.06,86432.89,87350.25,956.272907
87350.25,87690.44,87085.64,87230.98,872.566997
87230.98,87539.08,87072.44,87388.13,844.083025
87388.13,87563.44,87118.82,87528.15,824.849527
87528.15,88100.0,87436.05,87654.32,1106.217456
87654.32,88000.0,87492.15,87622.27,1012.758145
87622.27,89719.98,87534.9,89147.65,2621.720095
89147.65,91836.48,88644.43,91511.09,3874.387146
91511.09,92687.5,90433.05,92514.12,3101.958065
92514.12,93271.57,91416.61,92232.18,2460.404471
92232.18,92808.17,91738.94,92228.05,1310.287363
92228.05,93127.31,91995.64,92795.43,1083.485047
92795.43,92863.83,89926.06,90176.45,3320.279164
90176.45,91206.37,89260.62,89678.62,2185.86296
89678.62,89800.0,87935.52,88537.05,2497.149641
88537.05,89841.99,88335.93,89716.76,650.753633
89716.76,90542.61,89256.76,90372.9,848.890947
90372.9,90509.93,89690.89,90108.27,1426.278605
90108.27,90450.0,89470.51,90367.99,1610.899776
90367.99,90572.86,89650.0,90095.86,1268.85731
90095.86,90214.91,89521.96,89935.76,1053.410112
89935.76,90205.05,89329.0,90117.42,971.909018
90117.42,90119.53,89650.01,89966.2,522.054806
89966.2,90300.0,89287.39,89294.08,592.221843
89294.08,90868.11,89103.31,90784.26,1075.937329
90784.26,91436.1,90331.71,90544.48,1413.043276
90544.48,90920.43,90363.59,90909.52,844.310806
90909.52,91426.94,90822.26,91103.31,973.153498
91103.31,91658.79,90468.42,91480.22,1068.786829
91480.22,91599.8,90942.24,91224.61,894.3942
91224.61,91384.18,90572.13,90753.94,913.574467
90753.94,91787.11,88667.87,88726.73,2480.135099
88726.73,89619.15,87800.0,87941.11,2517.861326
87941.11,89235.33,87511.09,89181.8,1840.442897
89181.8,89372.7,88561.14,89219.87,1085.629543
89219.87,89678.73,88902.31,89102.62,953.817154
89102.62,89658.13,89094.78,89458.21,762.659363
89458.21,89458.21,87522.57,87583.63,1407.699065
87583.63,88311.54,87017.2,88218.88,1168.744797
88218.88,88355.89,87039.3,87621.99,694.663245
87621.99,87768.88,86645.92,87331.26,1362.397147
87331.26,88444.68,87248.26,87870.75,1534.145915
87870.75,88182.11,87342.51,88101.49,1407.934562
88101.49,88440.94,87727.18,88355.34,1134.652472
88355.34,88481.4,88093.28,88208.94,718.651726
88208.94,88247.34,87063.8,87449.31,1199.356732
87449.31,87875.09,87268.25,87721.43,977.877045
87721.43,88183.32,87587.83,88172.87,631.076084
88172.87,88386.0,87597.42,87632.26,630.414996
87632.26,88170.6,87375.74,88082.82,849.486697
88082.82,89341.1,88019.41,89187.19,1069.510129
89187.19,89462.73,88934.98,89352.26,544.735612
89352.26,89777.9,89134.78,89736.39,668.569226
89736.39,90720.89,89589.08,89747.11,1209.471422
89747.11,90493.72,89295.14,90153.76,936.068832
90153.76,90211.32,88578.08,89097.73,1761.760239
89097.73,89129.8,87754.64,88431.99,2001.223923
88431.99,89750.0,88372.95,89357.64,1305.496559
89357.64,89940.95,89168.2,89474.95,978.687945
89474.95,89814.54,89167.6,89368.88,1038.608881
89368.88,90846.23,89237.37,90378.05,1211.12979
90378.05,91456.4,90324.62,91436.15,1489.431342
91436.15,91836.48,91025.74,91676.88,1017.791519
91676.88,91857.47,91036.67,91192.01,657.056287
91192.01,91452.53,90857.05,91018.69,721.294586
91018.69,91332.28,90829.32,91003.64,780.081055
91003.64,91428.65,90928.01,91230.32,660.869379
91230.32,91699.99,91136.06,91412.84,620.251583
91412.84,91590.5,91038.45,91238.14,543.96716
91238.14,91402.42,91064.43,91267.99,447.914271
91267.99,91755.54,91141.48,91335.98,524.316521
91335.98,91447.66,91154.59,91193.09,540.154107
91193.09,91397.28,91080.16,91125.57,659.886166
91125.57,91411.12,91019.71,91405.08,645.751729
91405.08,91433.05,91192.19,91224.83,538.439729
91224.83,91588.15,91213.21,91381.81,587.022825
91381.81,91416.7,90987.01,91168.02,815.507009
91168.02,91318.18,90489.86,90891.59,1131.752227
90891.59,91194.5,90671.78,90751.81,851.285102
90751.81,91068.0,90590.53,90957.82,930.196382
90957.82,91012.41,90064.03,90522.14,1428.856715
90522.14,90841.76,90199.72,90609.8,796.860339
90609.8,91009.59,90503.25,90910.7,648.927108
90910.7,91394.13,90834.68,91298.69,501.854871
91298.69,91331.24,90942.74,91109.89,435.023217
91109.89,91181.87,90673.22,90748.0,503.658613
90748.0,91064.09,90690.7,90992.07,493.589349
90992.07,91002.93,90280.4,90317.31,276.458796
90317.31,90652.07,90310.52,90577.4,798.411125
90577.4,90889.99,90555.46,90811.85,774.235288
90811.85,90873.09,89976.46,90256.52,987.337588
90256.52,90271.39,89358.57,90027.93,1513.849273
90027.93,90255.76,89774.47,90247.68,826.566735
90247.68,90689.94,90152.27,90582.97,1194.549052
90582.97,90893.96,90377.12,90466.95,846.706855
90466.95,90786.57,90372.0,90640.76,627.178053
90640.76,90670.9,90362.89,90552.39,650.671913
90552.39,91049.04,90478.21,90989.46,661.801822
90989.46,91466.38,90962.76,91322.55,690.33479
91322.55,91348.59,90844.1,91066.68,570.273426
91066.68,91086.49,90500.0,90689.69,859.035542
90689.69,91186.92,90633.31,91071.89,729.256136
91071.89,91103.74,90247.97,90496.69,837.882365
90496.69,90771.82,89933.74,90309.48,790.802132
90309.48,90591.49,90113.7,90255.42,716.198516
90255.42,90535.35,90072.9,90456.54,720.321141
90456.54,90640.55,90153.2,90582.6,693.702174
90582.6,90624.99,89824.8,89931.67,752.609926
89931.67,90153.13,89683.78,90053.81,689.052208
90053.81,90226.21,89500.0,89643.26,773.387076
89643.26,89737.58,88997.78,89138.04,1025.216265
89138.04,89660.34,88706.25,89550.46,515.235526
89550.46,89869.6,89328.5,89852.56,678.753713
89852.56,90105.62,89622.91,89935.59,1243.138679
89935.59,90934.26,89877.56,90750.61,1237.992362
90750.61,90847.24,90400.01,90492.88,952.634022
90492.88,90666.64,90296.47,90653.94,886.84499
90653.94,90713.26,90452.0,90459.32,648.660198
90459.32,90813.83,90459.32,90617.15,578.798617
90617.15,92096.7,90617.15,92062.74,1746.394758
92062.74,92254.14,91389.98,91726.11,1508.370055
91726.11,92140.0,91531.61,91806.78,838.995704
91806.78,92210.09,91644.53,91717.92,920.337989
91717.92,92026.59,91673.12,91763.39,914.440882
91763.39,91827.73,90042.9,90279.18,1613.1088
90279.18,90766.25,90101.41,90515.84,1047.710802
90515.84,90597.36,89355.57,89492.44,1737.863323
89492.44,91055.0,89421.47,90296.82,1605.979175
90296.82,92630.87,90231.57,92324.89,1877.084528
92324.89,92583.26,91084.63,91407.87,1705.986322
91407.87,92166.72,90874.04,91560.68,1278.26082
91560.68,91664.64,90074.44,90352.74,1154.361309
90352.74,90659.08,89672.7,90610.8,1503.06262
90610.8,91932.48,90417.12,91456.91,1764.618745
91456.91,91980.0,91124.96,91269.67,958.805152
91269.67,91458.43,90952.0,91143.68,370.376319
91143.68,91217.18,90230.72,90462.78,896.908416
90462.78,91223.89,90353.72,91037.05,1000.887861
91037.05,91245.8,90609.16,90712.03,807.214924
90712.03,91280.94,90694.46,91243.68,794.569879
91243.68,91541.86,91152.75,91419.88,712.301193
91419.88,91800.63,91235.2,91522.2,974.755605
91522.2,91900.0,91226.8,91866.87,861.970792
91866.87,91976.35,91582.72,91949.46,821.242983
91949.46,92027.63,91585.94,91622.15,978.610847
91622.15,91778.25,91379.14,91761.47,1003.471717
91761.47,91937.07,91156.11,91678.86,1424.229908
91678.86,91910.75,91468.52,91742.28,1222.590428
91742.28,91844.34,91470.17,91645.37,919.048712
91645.37,92522.25,91645.37,92455.84,1711.436012
92455.84,92784.06,91034.56,91126.2,2196.802762
91126.2,92312.95,90917.89,91830.46,2103.200179
91830.46,92435.07,91485.68,92388.44,1492.419193
92388.44,92618.76,92100.0,92541.37,1426.184102
92541.37,93267.76,92326.58,92842.41,1732.676901
92842.41,93850.0,92704.17,93635.54,2033.227177
93635.54,93914.21,93016.1,93211.15,1628.321818
93211.15,93570.85,92112.0,92428.75,1357.076754
92428.75,92734.08,91750.12,92185.2,1380.377437
92185.2,92420.45,91287.02,91810.86,729.021331
91810.86,92307.75,91563.48,92302.34,978.375088
92302.34,92407.9,91963.04,92020.88,1250.303368
92020.88,92254.93,91716.94,91968.87,1381.885196
91968.87,92031.19,91577.01,91741.05,1295.122003
91741.05,92072.51,91452.63,92032.08,1398.260054
92032.08,92269.21,91848.11,92110.4,957.422363
92110.4,92525.73,91951.1,92515.54,883.667646
92515.54,92657.57,92356.69,92379.65,857.96685
92379.65,92839.52,92292.55,92831.63,928.673997
92831.63,93343.47,92703.49,93195.23,1275.106501
93195.23,93662.18,92949.19,93078.64,1356.410352
93078.64,93518.22,93002.47,93284.57,812.629684
93284.57,93619.16,92799.93,93449.09,975.65841
93449.09,93738.1,93300.0,93529.22,1194.923855
93529.22,94596.16,93529.22,94385.53,1844.885514
94385.53,94750.0,93820.35,94616.24,1977.6059
94616.24,94831.26,94041.95,94731.25,1477.899258
94731.25,94830.84,93260.42,94037.75,2124.930209
94037.75,94335.23,93500.01,93898.38,1195.744561
93898.38,94299.81,93117.2,93676.0,1782.785676
93676.0,94010.0,93230.87,94003.34,1023.100409
94003.34,94605.11,93822.27,94266.34,1360.131641
94266.34,94493.05,93891.63,94358.11,1188.667534
94358.11,94485.94,93942.71,94149.04,485.669152
94149.04,94299.65,93760.24,94299.65,831.319826
94299.65,94935.38,94185.28,94713.07,1400.403959
94713.07,94990.0,94593.66,94707.23,1190.268969
94707.23,94765.84,94026.09,94398.26,1388.022846
94398.26,95932.56,94380.01,95799.02,2270.261311
95799.02,97739.12,95796.11,97590.81,2765.173442
97590.81,97871.1,96688.0,97327.09,1786.647019
97327.09,97408.21,96789.36,97012.37,1144.60393
97012.37,97369.7,96839.98,96902.8,1156.273425
96902.8,97134.66,96719.0,97083.85,921.066768
97083.85,97680.0,97000.01,97609.93,1329.094509
97609.93,97765.54,97271.21,97729.33,946.745229
97729.33,98371.05,97702.58,97985.51,1677.761152
97985.51,98249.5,97264.92,97303.37,1663.503532
97303.37,97746.09,97031.9,97511.88,1353.606069
97511.88,97695.34,96500.26,97037.79,1771.235388
97037.79,97134.72,95599.99,96663.66,2139.591298
96663.66,97404.72,96287.37,97127.35,1575.437009
97127.35,98055.54,96906.55,98044.16,1221.41168
98044.16,98437.5,97342.78,98248.12,1523.613288
98248.12,98942.19,97680.25,97809.62,1816.541668
97809.62,98669.67,97578.35,98090.48,1043.390091
98090.48,98180.58,97474.43,97951.15,1039.257758
97951.15,98422.96,97832.04,98354.09,461.959366
98354.09,98718.23,98292.98,98320.38,813.508009
98320.38,98505.37,97825.89,97981.04,1235.394945
97981.04,98365.23,97800.0,98053.76,1028.914902
98053.76,98779.19,98009.3,98603.92,1029.885338
98603.92,99290.0,98387.17,98828.0,1121.344261
98828.0,99088.13,98625.58,98767.78,1032.359368
98767.78,99000.0,98478.08,98776.8,852.11971
98776.8,99053.11,98619.17,98999.99,774.611439
98999.99,99434.8,98867.97,99166.57,1314.851353
99166.57,99259.1,98741.6,98812.74,978.798542
98812.74,99000.0,98380.03,98704.97,1164.863141
98704.97,98777.61,98270.33,98388.06,994.270188
98388.06,98909.68,98216.78,98864.17,952.772623
98864.17,98946.98,98482.97,98615.34,994.539092
98615.34,98630.81,97326.0,97742.33,2217.086759
97742.33,98141.32,97139.98,97305.18,1933.383034
97305.18,98784.6,97167.2,98663.19,1680.056502
98663.19,98992.35,98177.31,98849.8,1223.786514
98849.8,99280.86,98734.26,98785.92,1152.990291
98785.92,99161.99,98647.99,99091.54,1066.114318
99091.54,99593.2,98827.94,99076.36,1323.583497
99076.36,99461.51,98914.2,99161.03,1114.434688
99161.03,99289.99,98716.31,99264.65,939.254023
99264.65,99372.74,98528.32,98606.22,496.646445
98606.22,98899.78,98604.42,98886.58,311.307779
98886.58,98892.66,98520.01,98615.37,1002.435339
98615.37,98645.08,98276.91,98565.37,1047.131016
98565.37,98600.83,98275.23,98474.9,899.023299
98474.9,98794.22,98377.53,98647.61,715.848281
98647.61,98691.13,98251.86,98548.58,1230.262204
98548.58,98752.78,98378.65,98731.05,647.704501
98731.05,98799.0,98547.75,98694.13,467.935082
98694.13,98715.46,98373.3,98535.84,475.448541
98535.84,98615.59,98354.86,98451.7,759.037124
98451.7,98541.03,98337.88,98448.44,511.982252
98448.44,98563.34,98287.92,98409.5,584.748353
98409.5,98520.96,98364.44,98403.51,344.317687
98403.51,98615.58,98390.37,98601.55,497.667917
98601.55,98838.28,98520.23,98521.61,699.580492
98521.61,98790.62,98441.8,98736.41,966.169649
98736.41,98811.02,98360.93,98363.04,751.620173
98363.04,98446.33,97502.78,97685.69,1738.801146
97685.69,98058.99,97301.91,97890.01,1138.621739
